GQ Electronics LLC, GMC Data Viewer,Version 2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Time,Type,uSv/h,CPM,#1(CPS),#2(CPS),#3(CPS),#4(CPS),#5(CPS),#6(CPS),#7(CPS),#8(CPS),#9(CPS),#10(CPS),#11(CPS),#12(CPS),#13(CPS),#14(CPS),#15(CPS),#16(CPS),#17(CPS),#18(CPS),#19(CPS),#20(CPS),#21(CPS),#22(CPS),#23(CPS),#24(CPS),#25(CPS),#26(CPS),#27(CPS),#28(CPS),#29(CPS),#30(CPS),#31(CPS),#32(CPS),#33(CPS),#34(CPS),#35(CPS),#36(CPS),#37(CPS),#38(CPS),#39(CPS),#40(CPS),#41(CPS),#42(CPS),#43(CPS),#44(CPS),#45(CPS),#46(CPS),#47(CPS),#48(CPS),#49(CPS),#50(CPS),#51(CPS),#52(CPS),#53(CPS),#54(CPS),#55(CPS),#56(CPS),#57(CPS),#58(CPS),#59(CPS),#60(CPS)
11/4/2019 17:39,Every Second,0.501,77,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,15,15,9,8,2,1,1
11/4/2019 17:40,Every Second,0.182,28,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,2,1
11/4/2019 17:41,Every Second,0.162,25,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0
11/4/2019 17:42,Every Second,0.228,35,0,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,1,1,2,1,0,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,2,0,0,1,1,0,1,2,0,0,1,0,1,1,2,1,0
11/4/2019 17:43,Every Second,0.247,38,0,1,1,2,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,3,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,2,1,2,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,1,1
11/4/2019 17:44,Every Second,0.234,36,0,1,0,0,1,2,0,3,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1,2,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,2,1,0,1,0,2,1
11/4/2019 17:45,Every Second,0.208,32,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,0,2,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,3,1,0,0,1,1
11/4/2019 17:46,Every Second,0.208,32,0,0,1,0,0,1,0,0,2,0,2,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
11/4/2019 17:47,Every Second,0.176,27,2,1,0,1,0,0,0,2,3,1,1,0,1,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
11/4/2019 17:48,Every Second,0.176,27,0,1,0,1,2,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,2,0,0,1,0
11/4/2019 17:49,Every Second,0.097,15,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
11/4/2019 17:50,Every Second,0.195,30,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,2,0,1,0,1,0,3,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0
11/4/2019 17:51,Every Second,0.195,30,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,1,1,1,0,0,1,1,0,0,0,0,0
11/4/2019 17:52,Every Second,0.162,25,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,1,2
11/4/2019 17:53,Every Second,0.176,27,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,2,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,2
11/4/2019 17:54,Every Second,0.149,23,0,0,1,0,0,0,1,2,0,0,1,2,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1
11/4/2019 17:55,Every Second,0.241,37,2,0,1,0,0,1,1,1,0,0,2,1,0,0,0,0,1,2,0,2,1,0,0,1,1,2,0,0,1,0,0,0,2,2,1,2,1,0,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
11/4/2019 17:56,Every Second,0.156,24,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0,0,0,0,2,0
11/4/2019 17:57,Every Second,0.241,37,1,0,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,3,1,1,1,1,2,1,0,0,2,0,1,1,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0
11/4/2019 17:58,Every Second,0.162,25,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0,0,0,0,0,1,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
11/4/2019 17:59,Every Second,0.156,24,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,2,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
11/4/2019 18:00,Every Second,0.214,33,0,1,0,0,0,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,1,2,2,1,0,0,0,0,2,0,2,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,0,0,0,0
11/4/2019 18:01,Every Second,0.195,30,2,1,2,1,1,1,1,1,1,0,0,2,0,0,0,0,1,1,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11/4/2019 18:02,Every Second,0.435,67,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,3,0,1,2,0,3,10,7,3,11,5,5
11/4/2019 18:03,Every Second,0.137,21,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,3,0,0,0,3,0
11/4/2019 18:04,Every Second,0.442,68,0,3,0,0,1,3,2,1,1,0,1,2,0,1,2,0,0,1,1,0,1,1,3,3,1,3,1,0,0,1,1,1,1,1,2,0,2,2,3,0,0,3,0,2,2,2,3,0,1,1,2,1,0,0,1,0,0,0,1,3
11/4/2019 18:05,Every Second,0.156,24,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,2
11/4/2019 18:06,Every Second,0.104,16,1,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
11/4/2019 18:07,Every Second,0.176,27,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0
11/4/2019 18:08,Every Second,0.162,25,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,1,1
11/4/2019 18:09,Every Second,0.137,21,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,1
11/4/2019 18:10,Every Second,0.143,22,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0
11/4/2019 18:11,Every Second,0.091,14,0,0,0,0,1,0,2,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11/4/2019 18:12,Every Second,0.084,13,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11/4/2019 18:13,Every Second,0.117,18,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,1,0,0,0,1,0,0
11/4/2019 18:14,Every Second,0.117,18,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
11/4/2019 18:15,Every Second,0.214,33,0,1,0,0,0,0,1,2,0,2,1,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,0,1,2,0,2,1,3,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11/4/2019 18:16,Every Second,0.104,16,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
11/4/2019 18:17,Every Second,0.169,26,0,1,0,1,0,1,0,1,1,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
11/4/2019 18:18,Every Second,0.13,20,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
11/4/2019 18:19,Every Second,0.143,22,0,0,3,0,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1
11/4/2019 18:20,Every Second,0.13,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
11/4/2019 18:21,Every Second,0.149,23,0,0,0,1,0,0,0,0,1,1,3,1,0,0,2,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
11/4/2019 18:22,Every Second,0.176,27,0,0,1,2,0,2,1,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
11/4/2019 18:23,Every Second,0.143,22,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,1,1
11/4/2019 18:24,Every Second,0.156,24,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,2,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
